SplitID,SplitIndex,Split,StrokeRate
6244,8,12791,
6245,2,2837,
6245,4,6093,
6245,6,9653,
6245,8,12653,
6246,2,2948,
6246,4,6242,
6247,2,2941,
6247,4,6262,
6249,2,3263,
6249,4,7238,
6250,2,2919,
6250,4,6255,
6250,6,9819,
6250,8,13397,
6251,2,2824,
6251,4,6029,
6253,2,3683,
6253,4,7839,
6255,2,3132,
6255,4,6601,
6255,6,10275,
6255,8,13946,
6258,2,3657,
6258,4,7841,
6259,2,2613,
6259,4,5601,
6259,6,9702,
6259,8,12841,
6260,2,2677,
6260,4,5796,
6260,6,9781,
6260,8,12564,
6261,2,2591,
6261,4,5341,
6262,2,2575,
6262,4,5325,
6264,2,3193,
6264,4,7113,
6265,2,3271,
6265,4,7375,
6265,6,12002,
6265,8,15509,
6266,2,3171,
6266,4,6849,
6268,2,3485,
6268,4,7104,
6269,2,2775,
6269,4,6489,
6269,6,10954,
6269,8,14355,
6270,2,2706,
6270,4,5927,
6271,2,3470,
6271,4,7533,
6271,6,12391,
6271,8,16123,
6272,2,3528,
6272,4,7697,
6273,2,3234,
6273,4,6863,
6273,6,10712,
6273,8,14399,
6278,2,2748,
6278,4,5740,
6279,2,2737,
6279,4,5745,
6280,2,3394,
6280,4,7267,
6280,6,11781,
6280,8,15182,
6281,2,2788,
6281,4,5891,
6282,2,3230,
6282,4,6714,
6282,6,9739,
6282,8,12293,
6284,2,3296,
6284,4,6901,
6284,6,10198,
6284,8,12979,
6286,4,5361,
6286,6,7973,
6286,8,10413,
6287,2,2530,
6287,4,5330,
6287,6,7880,
6287,8,10347,
6290,4,5376,
6290,6,8058,
6290,8,10725,
6291,2,2707,
6291,4,5367,
6291,6,7972,
6291,8,10502,
6294,2,2864,
6294,4,5799,
6294,6,8577,
6294,8,11588,
6296,4,4803,
6296,6,7217,
6296,8,9635,
6297,2,2449,
6297,4,4706,
6297,6,7104,
6297,8,9591,
6300,6,9316,
6300,8,12507,
6300,10,15286,
6300,12,18464,
6300,14,21304,
6300,16,24494,
6301,2,3006,
6301,4,6309,
6301,6,9261,
6301,8,12501,
6301,10,15223,
6301,12,18350,
6301,14,21084,
6301,16,24182,
6304,2,2792,
6304,4,6301,
6304,6,7892,
6304,8,13042,
6304,10,14576,
6304,12,19464,
6304,14,22237,
6304,16,25651,
