MEET,MNAME,START,END,AGEUP,SINCE,COURSE,REMARKS,INDCHARGE,RELCHARGE,SURCHARGE,TYPE,SANCTION,MaxIndEnt,MaxRelEnt,MaxEnt,Location,RestrictBest,NonConform,EnforceQualifying,EnterAtQTime,MinAge,FacilityFee,TeamFee,Instructions,Altitude,EnforceSlowQtime,BanNoTimes,Lanes,EvenOrOdd,FastToSlow,Masters,ActiveFeeXMLSent,MinAge10AndUnder,SeedLanes,DeadLine,ActiveMeetID,OnlyPreEntered,CustIndCharge,CustRelCharge,CustSurCharge,CustIndAction,CustRelAction,CustSurAction,UseCustomFees,Addr,Addr2,City,State,ZIP,Cntry,OMEEntryStyle,SwimmerEntryDeadLine,SwimmerEntryOpen,AllowCustomTimes,ExportEntriesDate,LastSyncDate,FinalizeEntriesDate,UseSwimmersTeam,HonorInviteList,EntryTeam,EMailFrom,EMailSubject,EMailText,EntryEMailFrom,EntryEMailSubject,EntryEMailText,OMEBillDate,InviteEmailDate,CollectFeesOnline,OMEValidated,OMECustomTeam,OMEFilterTeam,OMENeedSync,License,OMENeedsSync,MeetSharingStatus,FileExportType,MeetRegistrationOpens,MeetRegistrationCloses,MeetSharingMeetID,MeetSharingPayStatus,MeetSharingResultDate,EV3Version
67,"38th Annual Metros","02/22/02 00:00:00","02/23/02 00:00:00",,,"Y",,,,,"HS",,,,,"Montgomery County Rec.",0,,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
68,"39th Annual Metros","02/22/03 00:00:00","02/22/03 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Montgomery Aquatic Center",0,0,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
69,"2003 VSIS State Championships","02/28/03 00:00:00","03/01/03 00:00:00",,,"YS",,0,0,0,,,0,0,0,"University of Virginia",0,0,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
70,"SST vs. Fauquier High, ECS","11/21/03 00:00:00","11/21/03 00:00:00",,,"Y",,0,0,0,,,0,0,0,"FAST Aquatic Center",0,0,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
71,"USA Times from Beginning of 2003-2004 Season","09/20/03 00:00:00","09/20/03 00:00:00",,,"Y",,0,0,0,,,0,0,0,,0,0,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
72,"SST vs. FA, FCS","12/12/03 00:00:00","12/12/03 00:00:00",,,"S",,0,0,0,,,0,0,0,"Fredericksburg Academy",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
73,"Spotlight Invitational","12/13/03 00:00:00","12/14/03 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Hargrave Military Academy, Chatham, VA",0,0,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
74,"SST vs. FA, FCS - Girls 500 Free","12/12/03 00:00:00","12/12/03 00:00:00",,,"S","Software not converting times properly",0,0,0,,,0,0,0,"Fredericksburg Academy",0,0,0,0,,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
76,"SST vs. North Stafford","01/10/04 00:00:00","01/10/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Freedom Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
77,"SST vs. PVI","12/19/03 00:00:00","12/19/03 00:00:00",,,"Y","PVI Failed to Show so we swam a time trial meet",0,0,0,,,0,0,0,"Dale City Recreation Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
78,"SST vs. FA, MMA, Quantico","01/09/04 00:00:00","01/09/04 00:00:00",,,"S",,0,0,0,,,0,0,0,"Fredericksburg Academy",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
79,"SST vs. RMA, Quantico","01/17/04 00:00:00","01/17/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"FAST Aquatic Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
80,"2004 National Catholic Championship","01/31/04 00:00:00","02/01/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Villanova University",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
82,"2004 DAC Championships","02/07/04 00:00:00","02/07/04 00:00:00",,,"S",,0,0,0,,,0,0,0,"Fredericksburg Academy",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
85,"SST vs. Highland, Wakefield","01/28/04 00:00:00","01/28/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"FAST Aquatic Center",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
86,"SST vs. Woodberry Forest, Flint Hill","01/24/04 00:00:00","01/24/04 00:00:00",,,"Y",,0,0,0,,,0,0,0,"Woodberry Forest School",0,0,0,0,0,,,,,0,0,,,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,0,,,,0,0,,,,,,,,,,0,0,0,,0,,0,,,,,,,,
